Security,ISIN,Shares,Current Price (EUR),Market Value (EUR),Portfolio,Einstandskurs,Change,Weight
"ADVANCED MIC.DEV.  DL-,01",US0079031078,98,108.18,10601.64,"Brett, Family",104.12,€398.16 (3.90%),2.83%
ALLIANZ SE NA O.N.,DE0008404005,244,347.6,84814.4,"Brett, Family",258.72,"€21,686.01 (34.35%)",22.61%
"ALPHABET INC.CL.C DL-,001",US02079K1079,229,158.72,36346.88,"Brett, Family",132.17,"€6,078.93 (20.08%)",9.69%
"ASML HOLDING    EO -,09",NL0010273215,23,688.3,15830.9,"Brett, Family",653.23,€806.61 (5.37%),4.22%
"BERKSH. H.B NEW DL-,00333",US0846707026,208,430.95,89637.6,"Brett, Family",277.12,"€31,995.60 (55.51%)",23.89%
GitLab Inc.,,1016,46.49,47233.84,Work,51.89,"€-5,486.40 (-10.41%)",12.59%
"MICROSOFT    DL-,00000625",US5949181045,98,411.2,40297.6,"Brett, Family",302.74,"€10,628.96 (35.83%)",10.74%
"NVIDIA CORP.      DL-,001",US67066G1040,168,125.02,21003.36,"Brett, Family",97.3,"€4,657.32 (28.49%)",5.60%
RHEINMETALL AG,DE0007030009,3,1671.5,5014.5,Brett,1354.04,€952.38 (23.45%),1.34%
TAIWAN SEMICON.MANU.ADR/5,US8740391003,131,186.2,24392.2,"Brett, Family",158.93,"€3,572.96 (17.16%)",6.50%
